131 P-18 'Terek' early warning radar): 0 destroyed, 0 damaged, 0 abandoned, 1 captured
3 79K6 'Pelikan' 3D surveillance radar: 3 destroyed, 0 damaged, 0 abandoned, 0 captured
1 80K6M Mobile 3D Radar: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
2 P-19 'Flat Face B': 2 destroyed, 0 damaged, 0 abandoned, 0 captured
1 P-35/37 'Bar Lock': 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 PRV-11 'Side Net': 0 destroyed, 0 damaged, 0 abandoned, 1 captured
3 PRV-13 'Odd Pair': 2 destroyed, 0 damaged, 0 abandoned, 1 captured
3 PRV-16 'Thin Skin B': 3 destroyed, 0 damaged, 0 abandoned, 0 captured
6 1L22 'Parol': 3 destroyed, 1 damaged, 0 abandoned, 2 captured
16 36D6 'Tin Shield': 12 destroyed, 3 damaged, 0 abandoned, 1 captured
16 5N63S 'Flap Lid B' (for S-300PS): 15 destroyed, 1 damaged, 0 abandoned, 0 captured
5 5N63-1 'Flap Lid A' on 40V6M mast (for S-300PT): 3 destroyed, 1 damaged, 0 abandoned, 1 captured
3 5N66M 'Clam Shell' on 40V6M mast (for S-300PT): 1 destroyed, 0 damaged, 1 abandoned, 1 captured
37 'Mech' early warning radar: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
5 tropospheric radio relay communication station: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
3 SNAR-10 battlefield surveillance radar: 1 destroyed, 0 damaged, 0 abandoned, 2 captured
1 1B44-1 (RPMK-1) radiosonde weather radar: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
8 36D6 ST-68U surveillance radar: 8 destroyed, 0 damaged, 0 abandoned, 0 captured
3 counter-battery radar: 0 destroyed, 1 damaged, 0 abandoned, 0 captured
1 PRV-16ML height-finder radar: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
4 P-18ML long-range VHF surveillance radar: 2 destroyed, 2 damaged, 0 abandoned, 0 captured
1 AN-MPQ-64 Sentinel radar: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 TRML-4D multi-functional radar (for IRIS-T SLM): 0 destroyed, 1 damaged, 0 abandoned, 0 captured
8 AN/TPQ-36 weapons location radar: 5 destroyed, 3 damaged, 0 abandoned, 0 captured
2 AN/TPQ-37 weapons location radar: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
1 AN/TPQ-49 lightweight counter mortar radar: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
7 AN/TPQ-50 counter-battery radar: 6 destroyed, 1 damaged, 0 abandoned, 0 captured
1 ARTHUR counter-battery radar: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 AN/MPQ-53 radar (for MIM-104 'Patriot'): 0 destroyed, 1 damaged, 0 abandoned, 0 captured
1 Unknown counter mortar/battery radar: 0 destroyed, 1 damaged, 0 abandoned, 0 captured
2 RADA ieMHR: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
2 Unknownradar: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
1 NOTA: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
5 Bukovel-AD EW system: 4 destroyed, 1 damaged, 0 abandoned, 0 captured
1 Plastun-RP3000 MTDFS: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
